,Itr,ReturnAvg,ReturnMax,ReturnMin,ReturnStd,TrainingLossFinal,TrainingLossStart
0,-1,-150.25972758787535,-130.9558214144796,-194.68579136006946,20.909011957893338,,
1,0,-35.653504302826484,-1.5241416163144041,-67.95197349269299,19.4320762361493,0.026278404518961906,1.0307950973510742
2,1,70.05753483262805,111.4010024617178,27.6397569410061,21.32036509664876,0.018156785517930984,0.03859560936689377
3,2,186.09059230046267,217.81196311064508,124.95878420767227,28.275062029247856,0.011788166128098965,0.024975230917334557
4,3,171.27312145777748,259.4098511144753,95.53299525869187,54.68835064982297,0.010535165667533875,0.0176351610571146
5,4,220.0636208002818,304.4917279678785,170.09789319471307,38.51858496107221,0.010572323575615883,0.011842025443911552
6,5,238.45427484951765,332.86710321588345,178.20420014659481,37.68670875753618,0.00939241237938404,0.011817945167422295
7,6,250.45482728219045,371.8200475931392,203.8377513668164,43.125863878229794,0.009050853550434113,0.009871602058410645
8,7,313.2350116403437,378.95836897086616,247.7591651504715,43.70558722558482,0.007119988556951284,0.009446398355066776
9,8,297.3045924371648,375.33278651652756,230.50792080176763,41.62849216830114,0.006103982217609882,0.005897893104702234
10,9,316.0583763051285,364.0159982129981,264.713457907049,34.51312145137965,0.004988459870219231,0.008128847926855087
11,10,325.36468179810856,394.7684624116614,252.0459745255776,45.12451847290063,0.0073289345018565655,0.007093648426234722
